train_config,model,model_id,variant,shot,eval_stratum,eval_type,n_unknown,threshold,f1_macro,precision,recall,roc_auc,pr_auc,balanced_accuracy,mcc,fpr_at_95tpr,youdens_j,latency_p50_ms,latency_p95_ms,latency_p99_ms,emails_per_sec,total_tokens,privacy_tier
prompt_only,gpt4o,gpt-4o-mini,feature_grounded,four_shot,stratum_iii,cross,0,0.010101010101010102,0.9028827676497861,0.8499573742540495,0.9832347140039448,0.9027284681130835,0.8441906297223599,0.9027284681130835,0.8173901175124516,0.17777777777777778,0.805456936226167,3103.37,4637.8015,5603.789800000001,0.322,1830005,tier_ii
prompt_only,claude35,claude-sonnet-4-5-20250929,direct,zero_shot,stratum_i,cross,16,0.010101010101010102,0.7921562838559826,0.4282018111254851,0.9706744868035191,0.9754520393608783,0.40971124151939536,0.9757063548324476,0.6379451990769921,0.019261777138623787,0.9514127096648953,1457.5300000000002,2847.788999999989,5828.583900000004,0.686,8659220,tier_ii
prompt_only,claude35,claude-sonnet-4-5-20250929,direct,zero_shot,stratum_ii,cross,11,0.010101010101010102,0.9751288402615546,0.9946164199192463,0.9698162729658792,0.9800192897574551,0.9840591048069748,0.9800888593745058,0.9508541059472728,0.00963855421686747,0.9601777187490118,1590.93,3178.026000000003,5619.160800000005,0.629,442259,tier_ii
prompt_only,claude35,claude-sonnet-4-5-20250929,direct,zero_shot,stratum_iii,cross,4,0.5050505050505051,0.8788684413185079,0.8127522195318806,0.9930966469428008,0.8793626601318908,0.8106345179844856,0.8793766062996833,0.7808556318316655,0.23434343434343435,0.7587532125993663,1531.37,2517.386999999999,5314.370700000003,0.653,858110,tier_ii
prompt_only,claude35,claude-sonnet-4-5-20250929,cot,zero_shot,stratum_i,cross,53,0.010101010101010102,0.4407786484196373,0.02294723696534499,0.4310850439882698,0.5747488762514973,0.01755067673225724,0.5791630388372953,0.04258799407734745,1.0,0.15832607767459045,9082.720000000001,10854.835999999998,13471.653900000012,0.11,16140680,tier_ii
prompt_only,claude35,claude-sonnet-4-5-20250929,cot,zero_shot,stratum_ii,cross,28,0.0,0.3929860752965446,0.6474086661002549,1.0,0.5408847990386744,0.6641418687545184,0.5,0.0,1.0,0.0903013629320431,8409.69,10522.256000000003,15244.696000000002,0.119,815833,tier_ii
prompt_only,claude35,claude-sonnet-4-5-20250929,cot,zero_shot,stratum_iii,cross,14,0.0,0.3359840954274354,0.5059880239520959,1.0,0.5751738290199829,0.5562757946100921,0.5,0.0,1.0,0.15093538939692785,9008.105,10871.4645,14353.881200000005,0.111,1501065,tier_ii
prompt_only,claude35,claude-sonnet-4-5-20250929,feature_grounded,zero_shot,stratum_i,cross,315,0.010101010101010102,0.4636591948162934,0.03166080355489724,0.501466275659824,0.6205452140320287,0.020085572918296768,0.6367748862066062,0.07785215936303128,1.0,0.2735497724132123,8984.705,10821.562999999996,13586.842000000008,0.111,19029382,tier_ii
prompt_only,claude35,claude-sonnet-4-5-20250929,feature_grounded,zero_shot,stratum_ii,cross,94,0.0,0.3929860752965446,0.6474086661002549,1.0,0.7037267178952028,0.7725404374233311,0.5,0.0,1.0,0.4160705815387534,8655.52,10333.642,12614.801600000003,0.116,956321,tier_ii
prompt_only,claude35,claude-sonnet-4-5-20250929,feature_grounded,zero_shot,stratum_iii,cross,255,0.0,0.3359840954274354,0.5059880239520959,1.0,0.6697273524196601,0.629723477387151,0.5,0.0,1.0,0.33622616699539776,8322.735,10086.026499999998,12519.626700000004,0.12,1770954,tier_ii
prompt_only,claude35,claude-sonnet-4-5-20250929,direct,four_shot,stratum_i,cross,19,0.010101010101010102,0.814754046060835,0.4748923959827834,0.9706744868035191,0.9770961441557218,0.4532259509457404,0.9773623447221935,0.6730296296777427,0.015949797359131913,0.9547246894443872,1718.77,2980.5559999999973,6004.077900000003,0.582,15487581,tier_ii
prompt_only,claude35,claude-sonnet-4-5-20250929,direct,four_shot,stratum_ii,cross,15,0.010101010101010102,0.9589173063900982,0.9944827586206897,0.9461942257217848,0.9681829680928439,0.9757001730980163,0.9682778357524586,0.9200192438756962,1.0,0.9365556715049174,1847.31,5388.126,7868.306800000001,0.541,792885,tier_ii
