train_config,model,eval_stratum,eval_type,threshold,f1_macro,precision,recall,roc_auc,pr_auc,balanced_accuracy,mcc,fpr_at_95tpr,youden_j,latency_p50_ms,latency_p95_ms,latency_p99_ms
stratum_i,deberta,stratum_ii,cross,0.42424242424242425,0.7251163211077167,0.9740820734341252,0.5918635170603674,0.8668421718369541,0.9318330262128424,0.7814739272048825,0.5505922585884475,0.6168674698795181,0.5906998071024255,10.69644559174776,10.820190329104662,11.090554911643267
stratum_i,deberta,stratum_iii,cross,0.42424242424242425,0.7653865396545858,0.819672131147541,0.6903353057199211,0.8328218078218077,0.8466662596298862,0.7673898750821828,0.5406717436887356,0.7212121212121212,0.5401709401709401,10.69644559174776,10.820190329104662,11.090554911643267
stratum_ii,distilbert,stratum_ii,matched,0.17171717171717174,0.9962697919703865,0.9947780678851175,1.0,0.999981026468077,0.9999896733819598,0.9951807228915663,0.9925673002593104,0.0,0.9951807228915662,2.2236406803131104,2.256316691637039,2.3092013970017424
stratum_ii,distilbert,stratum_i,matched,0.17171717171717174,0.35097757653977535,0.019926764881205823,0.6862170087976539,0.6502223599018879,0.02809867695110372,0.5923349828055904,0.04436596339699801,0.8586307578332679,0.2402864589024281,2.2236406803131104,2.256316691637039,2.3092013970017424
stratum_ii,distilbert,stratum_ii,matched,0.17171717171717174,0.9962697919703865,0.9947780678851175,1.0,0.999981026468077,0.9999896733819598,0.9951807228915663,0.9925673002593104,0.0,0.9951807228915662,2.2236406803131104,2.256316691637039,2.3092013970017424
stratum_ii,distilbert,stratum_iii,cross,0.17171717171717174,0.5679423829945925,0.5781071835803877,1.0,0.9073038073038073,0.8612893056474823,0.6262626262626263,0.38208201020239085,0.295959595959596,0.6922120614428307,2.2236406803131104,2.256316691637039,2.3092013970017424
stratum_ii,roberta,stratum_ii,matched,0.3535353535353536,0.9990689948387352,0.9986893840104849,1.0,0.9999968377446795,0.9999982800315098,0.9987951807228916,0.99813972146543,0.0,0.9986876640419947,4.234650172293186,4.302344564348459,4.354838225990533
stratum_ii,roberta,stratum_i,matched,0.3535353535353536,0.4968052091747167,0.06148623161071294,0.9560117302052786,0.947755295352915,0.26504947916242905,0.8695821060055896,0.21173561887543704,0.19444807600122022,0.7963679405571451,4.234650172293186,4.302344564348459,4.354838225990533
stratum_ii,roberta,stratum_ii,matched,0.3535353535353536,0.9990689948387352,0.9986893840104849,1.0,0.9999968377446795,0.9999982800315098,0.9987951807228916,0.99813972146543,0.0,0.9986876640419947,4.234650172293186,4.302344564348459,4.354838225990533
stratum_ii,roberta,stratum_iii,cross,0.3535353535353536,0.7291293903524326,0.6675444371296906,1.0,0.9624150777996933,0.949484012830067,0.7449494949494949,0.5718647964882304,0.13636363636363635,0.8200286892594586,4.234650172293186,4.302344564348459,4.354838225990533
stratum_ii,deberta,stratum_ii,matched,0.4040404040404041,0.9990689948387352,0.9986893840104849,1.0,1.0,1.0,0.9987951807228916,0.99813972146543,0.0,1.0,10.70838700979948,10.879221837967634,11.25456856563687
stratum_ii,deberta,stratum_i,matched,0.4040404040404041,0.44535564601156463,0.02918820310124658,0.5630498533724341,0.6854582796746858,0.02894902059451875,0.6423781972662492,0.07597635832318482,0.8214145639952936,0.2923983827580755,10.70838700979948,10.879221837967634,11.25456856563687
stratum_ii,deberta,stratum_ii,matched,0.4040404040404041,0.9990689948387352,0.9986893840104849,1.0,1.0,1.0,0.9987951807228916,0.99813972146543,0.0,1.0,10.70838700979948,10.879221837967634,11.25456856563687
